molecule_chembl_id,canonical_smiles,compound_classification,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1643513,CN[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,active,307.22400000000005,4.795700000000004,1.0,2.0,6.87942606879415
CHEMBL1643514,CN(C)[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,active,321.2510000000001,5.137900000000005,0.0,2.0,8.154901959985743
CHEMBL1643516,CN(C)C1Cc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1,active,321.2510000000001,4.617800000000004,0.0,2.0,6.360513510731414
CHEMBL1643517,CNC1Cc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1,active,307.22400000000005,4.275600000000003,1.0,2.0,6.006563769502388
CHEMBL1643518,CN[C@H]1Cc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1,active,307.22400000000005,4.275600000000003,1.0,2.0,6.892790030352131
CHEMBL1644472,CN1[C@H]2CC[C@@H]1C[C@@H](Oc1ccccc1)C2,inactive,217.312,2.6906000000000008,0.0,2.0,5.0
CHEMBL1644473,Clc1ccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)cc1,active,237.72999999999996,3.001800000000001,1.0,2.0,7.366531544420414
CHEMBL1644474,Clc1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1,active,237.72999999999996,3.0018000000000002,1.0,2.0,6.8696662315049934
CHEMBL1644475,Clc1ccccc1O[C@H]1C[C@@H]2CC[C@H](C1)N2,active,237.72999999999996,3.001800000000001,1.0,2.0,6.055024091587952
CHEMBL1644476,Brc1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1,active,282.1809999999999,3.110900000000001,1.0,2.0,6.866461091629782
CHEMBL1644477,Ic1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1,active,329.1810000000001,2.9530000000000003,1.0,2.0,6.97469413473523
CHEMBL1644479,Cc1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1,active,217.31199999999998,2.6568200000000006,1.0,2.0,6.204815410317576
CHEMBL1644480,O=[N+]([O-])c1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1,active,248.28199999999995,2.2565999999999997,1.0,4.0,7.0655015487564325
CHEMBL1644481,FC(F)(F)c1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1,active,271.2819999999999,3.3672000000000013,1.0,2.0,7.00436480540245
CHEMBL1644482,COc1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1,active,233.31099999999995,2.357,1.0,3.0,6.432973633840939
CHEMBL1644483,N#Cc1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1,active,228.29499999999996,2.2200800000000003,1.0,3.0,7.6020599913279625
CHEMBL1644602,Clc1cc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)cc(-c2ccccc2)c1,active,313.828,4.668800000000003,1.0,2.0,6.3448615651886175
CHEMBL1644603,Fc1cc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)cc(-c2ccccc2)c1,active,297.373,4.154500000000003,1.0,2.0,6.043351420794797
CHEMBL1644604,N#Cc1cc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)cc(-c2ccccc2)c1,active,304.393,3.8870800000000028,1.0,3.0,7.0
CHEMBL1644605,N#Cc1cc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)nc(-c2ccccc2)c1,active,305.381,3.2820800000000014,1.0,4.0,6.681936665037238
CHEMBL1644606,N#Cc1ccc(-c2cccc(O[C@H]3C[C@@H]4CC[C@H](C3)N4)c2)cc1,active,304.3929999999999,3.887080000000002,1.0,3.0,6.978810700930062
CHEMBL1644607,N#Cc1cccc(-c2cccc(O[C@H]3C[C@@H]4CC[C@H](C3)N4)c2)c1,inactive,304.393,3.887080000000002,1.0,3.0,5.0
CHEMBL1644610,N#Cc1cc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)nc(-c2ccccc2C#N)c1,active,330.391,3.153760000000001,1.0,5.0,7.318758762624412
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,active,280.415,3.8750000000000027,0.0,2.0,8.136677139879543
CHEMBL549,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,active,324.39900000000006,3.812980000000003,0.0,3.0,7.721246399047171
